id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry,service_horizon_status
mountain-metropolitan-transit-2356,Mountain Metropolitan Transit,2026-07-10,F,44.3,46.0,0.0,77.3,,-286,within_review_threshold
mountain-rides-transportation-authority-mrta,Mountain Rides Transportation Authority (MRTA),2026-07-10,F,41.5,68.0,0.0,37.5,,-5670,within_review_threshold
mountain-rides-transportation-authority-mrta-143,Mountain Rides Transportation Authority (MRTA),2026-07-10,F,41.5,68.0,0.0,37.5,,-5670,within_review_threshold
mountain-transit,Mountain Transit,2026-07-10,B,80.6,85.8,100.0,57.7,,175,within_review_threshold
mountain-transit-107,Mountain Transit,2026-07-10,B,80.6,85.8,100.0,57.7,,175,within_review_threshold
mountain-view-community-shuttle,Mountain View Community Shuttle,2026-07-10,B,84.5,78.5,85.0,92.5,,289,within_review_threshold
mountain-view-transportation-management-association-mvgo,Mountain View Transportation Management Association (MVgo),2026-07-10,F,47.9,66.0,0.0,99.3,0.0,-922,within_review_threshold
mountain-view-transportation-management-association-mvgo-2025,Mountain View Transportation Management Association (MVgo),2026-07-10,B,89.7,84.5,85.0,92.5,100.0,175,within_review_threshold
mountain-view-transportation-management-association-mvgo-2880,Mountain View Transportation Management Association (MVgo),2026-07-10,B,87.1,84.5,85.0,92.5,,175,within_review_threshold
mountain-view-transportation-management-association-mvgo-60,Mountain View Transportation Management Association (MVgo),2026-07-10,F,47.9,66.0,0.0,99.3,0.0,-922,within_review_threshold
move-stanislaus,Move Stanislaus,2026-07-10,C,75.7,94.5,100.0,30.0,,83,within_review_threshold
mt-bachelor,Mt. Bachelor,2026-07-10,F,50.2,71.8,0.0,60.0,,-1105,within_review_threshold
mta,Metro-North Railroad,2026-07-10,C,79.9,81.0,85.0,74.4,,169,within_review_threshold
